dose,RR,lb,ub
0,1,1,1
0.13015015,0.99377279,0.992701535,0.9948452
0.2603003,0.987586158,0.985458466,0.989718445
0.39045045,0.98144162,0.978272466,0.984621041
0.520600601,0.975340648,0.971145157,0.979554264
0.650750751,0.969284671,0.964078097,0.974519363
0.780900901,0.963275079,0.957072793,0.969517558
0.911051051,0.95731322,0.950130697,0.964550039
1.041201201,0.951400403,0.943253206,0.959617971
1.171351351,0.945537901,0.936441667,0.954722492
1.301501502,0.939726945,0.929697375,0.949864713
1.431651652,0.933968731,0.923021577,0.94504572
1.561801802,0.928264421,0.916415472,0.940266572
1.691951952,0.922615138,0.909880211,0.935528307
1.822102102,0.917021974,0.903416901,0.930831933
1.952252252,0.911485986,0.897026604,0.926178441
2.082402402,0.906008199,0.890710342,0.921568795
2.212552553,0.900589607,0.884469092,0.917003937
2.342702703,0.895231173,0.878303796,0.912484788
2.472852853,0.88993383,0.872215352,0.908012248
2.603003003,0.884698485,0.866204626,0.903587196
2.733153153,0.879526013,0.860272445,0.899210491
2.863303303,0.874417266,0.854419603,0.894882973
2.993453453,0.869373068,0.848646862,0.890605464
3.123603604,0.864394221,0.84295495,0.886378767
3.253753754,0.8594815,0.837344568,0.882203668
3.383903904,0.85463566,0.831816386,0.878080936
3.514054054,0.849857431,0.826371048,0.874011325
3.644204204,0.845147527,0.82100917,0.869995572
3.774354354,0.840506638,0.815731345,0.866034402
3.904504505,0.835935436,0.810538144,0.862128523
4.034654655,0.831434577,0.805430114,0.858278632
4.164804805,0.827004699,0.800407781,0.854485412
4.294954955,0.822646425,0.795471655,0.850749535
4.425105105,0.818360361,0.790622224,0.847071661
4.555255255,0.814147102,0.785859963,0.843452441
4.685405405,0.810007229,0.78118533,0.839892515
4.815555556,0.805941312,0.776598771,0.836392513
4.945705706,0.801949908,0.772100717,0.83295306
5.075855856,0.798033567,0.767691589,0.829574769
5.206006006,0.794192828,0.7633718,0.826258251
5.336156156,0.790428134,0.759141648,0.823004028
5.466306306,0.786738841,0.755000205,0.819811704
5.596456456,0.783123623,0.750945768,0.816680293
5.726606607,0.779581169,0.746976663,0.813608817
5.856756757,0.776110196,0.743091254,0.81059632
5.986906907,0.772709447,0.739287942,0.807641861
6.117057057,0.769377694,0.735565166,0.804744519
6.247207207,0.766113731,0.731921398,0.801903388
6.377357357,0.762916381,0.728355148,0.799117581
6.507507508,0.759784487,0.724864957,0.796386226
6.637657658,0.75671692,0.721449399,0.793708468
6.767807808,0.753712572,0.718107082,0.791083468
6.897957958,0.750770355,0.714836641,0.7885104
7.028108108,0.747889207,0.711636744,0.785988456
7.158258258,0.745068085,0.708506088,0.78351684
7.288408408,0.742305967,0.705443397,0.781094772
7.418558559,0.739601852,0.702447422,0.778721484
7.548708709,0.736954756,0.699516943,0.776396222
7.678858859,0.734363717,0.696650765,0.774118247
7.809009009,0.73182779,0.693847717,0.771886831
7.939159159,0.72934605,0.691106653,0.769701257
8.069309309,0.726917585,0.688426453,0.767560824
8.199459459,0.724541506,0.685806018,0.76546484
8.32960961,0.722216937,0.683244272,0.763412626
8.45975976,0.719943018,0.680740161,0.761403513
8.58990991,0.717718908,0.678292652,0.759436843
8.72006006,0.715543777,0.675900733,0.757511971
8.85021021,0.713416812,0.673563412,0.755628259
8.98036036,0.711337217,0.671279716,0.753785083
9.110510511,0.709304206,0.669048692,0.751981826
9.240660661,0.707317009,0.666869405,0.750217881
9.370810811,0.705374869,0.664740937,0.748492651
9.500960961,0.703477042,0.662662388,0.74680555
9.631111111,0.701622797,0.660632876,0.745155997
9.761261261,0.699811415,0.658651534,0.743543423
9.891411411,0.698042188,0.65671751,0.741967267
10.02156156,0.696314422,0.654829971,0.740426974
10.15171171,0.694627432,0.652988095,0.738922
10.28186186,0.692980545,0.651191077,0.737451807
10.41201201,0.6913731,0.649438125,0.736015865
10.54216216,0.689804444,0.647728462,0.734613652
10.67231231,0.688273936,0.646061324,0.733244652
10.80246246,0.686780943,0.644435958,0.731908359
10.93261261,0.685324845,0.642851626,0.730604269
11.06276276,0.683905026,0.641307602,0.72933189
11.19291291,0.682520885,0.639803169,0.728090733
11.32306306,0.681171825,0.638337626,0.726880315
11.45321321,0.67985726,0.63691028,0.725700162
11.58336336,0.678576611,0.63552045,0.724549803
11.71351351,0.677329308,0.634167463,0.723428775
11.84366366,0.676114789,0.632850661,0.72233662
11.97381381,0.674932498,0.631569392,0.721272885
12.10396396,0.673781889,0.630323014,0.720237122
12.23411411,0.672662419,0.629110896,0.719228889
12.36426426,0.671573557,0.627932414,0.718247749
12.49441441,0.670514775,0.626786954,0.717293269
12.62456456,0.669485551,0.625673909,0.716365022
12.75471471,0.668485374,0.624592683,0.715462584
12.88486486,0.667513734,0.623542685,0.714585537
13.01501502,0.666570129,0.622523333,0.713733467
13.14516517,0.665654062,0.621534051,0.712905962
13.27531532,0.664765044,0.620574272,0.712102618
13.40546547,0.663902589,0.619643436,0.711323032
13.53561562,0.663066215,0.618740987,0.710566804
13.66576577,0.662255449,0.617866379,0.709833541
13.79591592,0.661469819,0.617019069,0.709122851
13.92606607,0.66070886,0.616198523,0.708434346
14.05621622,0.65997211,0.615404211,0.707767641
14.18636637,0.659259113,0.614635608,0.707122355
14.31651652,0.658569417,0.613892197,0.706498109
14.44666667,0.657902572,0.613173465,0.705894529
14.57681682,0.657258134,0.612478902,0.70531124
14.70696697,0.656635662,0.611808007,0.704747874
14.83711712,0.656034719,0.61116028,0.704204064
14.96726727,0.655454872,0.610535227,0.703679443
15.09741742,0.654895689,0.609932359,0.703173651
15.22756757,0.654356745,0.609351191,0.702686327
15.35771772,0.653837616,0.60879124,0.702217114
15.48786787,0.653337879,0.608252031,0.701765655
15.61801802,0.652857119,0.607733088,0.701331597
15.74816817,0.652394918,0.607233943,0.700914589
15.87831832,0.651950866,0.606754129,0.70051428
16.00846847,0.651524551,0.606293182,0.700130322
16.13861862,0.651115567,0.605850643,0.69976237
16.26876877,0.650723508,0.605426054,0.699410079
16.39891892,0.650347971,0.605018963,0.699073104
16.52906907,0.649988556,0.604628917,0.698751104
16.65921922,0.649644864,0.604255469,0.698443739
16.78936937,0.649316497,0.603898173,0.698150669
16.91951952,0.649003062,0.603556586,0.697871557
17.04966967,0.648704164,0.603230267,0.697606064
17.17981982,0.648419413,0.602918778,0.697353856
17.30996997,0.648148418,0.602621683,0.697114596
17.44012012,0.647890791,0.602338547,0.696887952
17.57027027,0.647646145,0.602068939,0.696673589
17.70042042,0.647414094,0.601812428,0.696471175
17.83057057,0.647194254,0.601568587,0.696280378
17.96072072,0.646986243,0.601336989,0.696100866
18.09087087,0.646789677,0.601117208,0.695932309
18.22102102,0.646604177,0.600908823,0.695774376
18.35117117,0.646429362,0.600711412,0.695626738
18.48132132,0.646264853,0.600524554,0.695489064
18.61147147,0.646110272,0.600347831,0.695361026
18.74162162,0.645965242,0.600180826,0.695242293
18.87177177,0.645829386,0.600023123,0.695132538
19.00192192,0.645702329,0.599874307,0.695031431
19.13207207,0.645583696,0.599733965,0.694938644
19.26222222,0.645473112,0.599601685,0.694853848
19.39237237,0.645370202,0.599477055,0.694776713
19.52252252,0.645274595,0.599359666,0.694706912
19.65267267,0.645185916,0.599249108,0.694644114
19.78282282,0.645103793,0.599144974,0.694587991
19.91297297,0.645027855,0.599046856,0.694538214
20.04312312,0.644957729,0.598954349,0.694494451
20.17327327,0.644893043,0.598867046,0.694456374
20.30342342,0.644833428,0.598784544,0.694423652
20.43357357,0.644778511,0.598706439,0.694395953
20.56372372,0.644727923,0.598632329,0.694372947
20.69387387,0.644681293,0.598561812,0.694354302
20.82402402,0.64463825,0.598494485,0.694339686
20.95417417,0.644598424,0.598429951,0.694328765
21.08432432,0.644561447,0.598367808,0.694321207
21.21447447,0.644526947,0.598307658,0.694316677
21.34462462,0.644494555,0.598249103,0.694314841
